brand,logo,category,name,description,image,color
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Vit C Water Tint 2.7g #04 Tangerine,Cathy Doll Vit C Water Tint 2.7g #04 Tangerine เรียวปากสวยสดใสด้วยลิปทินท์น้ำแร่ จากเคที่ ดอลล์ เกลี่ยง่าย เบาสบายไม่เหนียวเหนอะหนะ สีชัด ติดทนนานตลอดวัน พร้อมบำรุงขั้นสุดด้วยวิตามินซีเข้มข้น,https://s2.konvy.com/static/team/2022/0906/16624347174791.jpg,"[(216, 66, 29)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,Lips,4U2 Love You Babe Tint Matte 2.6g #13 Today Till Tomorrow,4U2 Love You Babe Tint Matte 2.6g #13 Today Till Tomorrow ลิปทินท์แมท จากโฟร์ยูทู เนื้อเนียนนุ่ม บางเบา เกลี่ยง่าย ไม่ตกร่องเรียบเนียนไปกับริมฝีปาก กลบสีปากคล้ำได้สนิท ติดทนนานตลอดวัน ผสานการบำรุงช่วยให้ริมฝีปากชุ่มชื่น ดูสุขภาพดีอย่างเป็นธรรมชาติ,https://s2.konvy.com/static/team/2023/1127/17010686658471.jpg,"[(207, 92, 99)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,Lips,4U2 Serum Tint Oil 3g #02 Magic Peach,4U2 Serum Tint Oil 3g #02 Magic Peach ลิปทินท์เนื้อฉ่ำวาว จากโฟร์ยูทู เติมสีสันให้เรียวปากสวยดูสุขภาพดี เนื้อบางเบา ด้วยสูตรพิเศษ Infuse Liquid Oil มอบความชุ่มชื้นฉ่ำวาวมีมิติ,https://s2.konvy.com/static/team/2023/1231/17040403772968.jpg,"[(238, 113, 111)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,Lips,4U2 Jelly Tint 4g #01 Gummy Bear,4U2 Jelly Tint 4g #01 Gummy Bear ลิปทินท์เนื้อเจลลี่ เนียนนุ่มละมุนบนริมฝีปาก จากโฟร์ยูทู สีสวยสดชัด ด้วยเทคโนโลยี Air Soft Flex Film ช่วยสร้างชั้นฟิล์มสัมผัสนุ่มละมุนเคลือบริมฝีปากแบบแนบสนิท ติดทนนาน พร้อมมอบความชุ่มชื่น เปล่งปลั่งให้กับริมฝีปากได้อย่างมีประสิทธิภาพ,https://s2.konvy.com/static/team/2022/1111/16681560341181.jpg,"[(253, 138, 107)]"
2P Original,https://s2.konvy.com/static/category/2021/1201/16383344729529.jpg,Lips,2P Original Oh My Matte Cloud 2.2ml #10,2P Original Oh My Matte Cloud 2.2ml #10 นวัตกรรมใหม่ล่าสุดจากทูพี ออริจินอลกับลิปเนื้อเมฆ เบาสบาย ไม่ติดมาสก์ ลิปแมทเนื้อบางเบา ทาแล้วนุ่มสบายปาก ให้สัมผัสเรียบเนียน ไม่เป็นคราบ ไม่ตกร่อง ติดทนยาวนาน ฟินิชลุคแมทไม่ทำให้ปากแห้ง,https://s2.konvy.com/static/team/2023/0215/16764483756293.jpg,"[(186, 56, 85)]"
2P Original,https://s2.konvy.com/static/category/2021/1201/16383344729529.jpg,Lips,2P Original Oh My Matte Cloud 2.2ml #05,2P Original Oh My Matte Cloud 2.2ml #05 นวัตกรรมใหม่ล่าสุดจากทูพี ออริจินอลกับลิปเนื้อเมฆ เบาสบาย ไม่ติดมาสก์ ลิปแมทเนื้อบางเบา ทาแล้วนุ่มสบายปาก ให้สัมผัสเรียบเนียน ไม่เป็นคราบ ไม่ตกร่อง ติดทนยาวนาน ฟินิชลุคแมทไม่ทำให้ปากแห้ง,https://s2.konvy.com/static/team/2023/0215/16764485742341.jpg,"[(183, 67, 79)]"
2P Original,https://s2.konvy.com/static/category/2021/1201/16383344729529.jpg,Lips,2P Original Oh My Tint Velvet & Smooth 2.2g #OMT15,2P Original Oh My Tint Velvet & Smooth 2.2g #OMT15 ลิปทินท์เนื้อละมุน แพ็คเกจใหม่มาพร้อมกับขนแปรงที่นุ่มฟูขึ้น และกลิ่น CANDY หอมอ่อนๆ จากทูพี ออริจินอล  เนื้อนุ่มลื่น ละมุน บางเบา แบบดั้งเดิม ปกปิดริมฝีปากดำคล้ำ สีแน่นชัด ติดทนนาน,https://s2.konvy.com/static/team/2022/0905/16623627573066.jpg,"[(194, 69, 73)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,Lips,SASI Sugar Rush Lip Tint Vol.2 2g #01 Berry,SASI Sugar Rush Lip Tint Vol.2 2g #01 Berry ลิปทินท์เนื้อน้ำ จากศศิ สีสวยชัด อัพเกรดจาก Sugar Rush Lip Tint รุ่นเดิม ให้สีสวย ชุ่มฉ่ำ สดใส ติดทนนานยิ่งขึ้น ถึง 12 ชั่วโมง พร้อมกลิ่นหอมของผลไม้ ที่ทาเมื่อไหร่ก็สดชื่นพร้อมสีสันที่สดใสยาวนาน,https://s2.konvy.com/static/team/2023/1026/16982903431860.jpg,"[(231, 35, 85)]"
2P Original,https://s2.konvy.com/static/category/2021/1201/16383344729529.jpg,Lips,2P Original  Oh My Tint Velvet & Smooth 2.2g #OMT17,2P Original  Oh My Tint Velvet & Smooth 2.2g #OMT17 ลิปกำมะหยี่ เนื้อละมุน จากทูพี ออริจินอล มาพร้อมกับขนแปรงที่นุ่มฟูขึ้น และกลิ่นชูการ์แคนดี้หอมอ่อนๆ ให้สัมผัสนุ่มลื่นเบาสบายปาก ทาง่าย ไม่ตกร่อง สีละมุน เมื่อทาจะให้ลุคเหมือนสาวเกาหลี มาพร้อมเม็ดสีเข้มข้น ให้ริมฝีปากดูโดดเด่นและติดทนนาน,https://s2.konvy.com/static/team/2024/0112/17050322138631.jpg,"[(200, 91, 64)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Trio Color Serum 15ml #02 Peony Pink,Cathy Doll Trio Color Serum 15ml #02 Peony Pink เนรมิตผิวดูมีเลือดฝาดสุขภาพดีด้วยผลิตภัณฑ์ตกแต่งตา แก้ม และปาก จากเคที่ ดอลล์ มาพร้อมนวัตกรรม HAC Innovation ช่วยกักเก็บน้ำและเติมความชุ่มชื้นให้กับผิว เนื้อเซรั่มบางเบา เกลี่ยง่าย สัมผัสนุ่มละมุน มีสีสันสดใสเป็นธรรมชาติ ติดทนนาน,https://s2.konvy.com/static/team/2023/0726/16903430677643.jpg,"[(239, 99, 100)]"
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,Lips,SASI Peace & Love Watery Lip Tint 5g #09 Pink Ploy,SASI Peace & Love Watery Lip Tint 5g #09 Pink Ploy ลิปทินท์เนื้อน้ำโปร่งแสง จากศศิ ให้สีชัดละมุน สัมผัสเบาสบาย แห้งไว สีแน่นติดทนนาน ไม่เลอะมาสก์ ช่วยบำรุงริมฝีปากให้ชุ่มชื้น มอบริมฝีปากให้ที่สดใส แลดูกระจ่างใสมากขึ้น,https://s2.konvy.com/static/team/2024/0806/17229387536446.jpg,"[(252, 97, 139)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Lips,Laka Fruity Glam Tint 4.5g #104 Cherry,Laka Fruity Glam Tint 4.5g #104 Cherry ลิปทินท์โกลว์ จากลากะ ที่ให้ความประกายแวววาว พร้อมสีสดฉ่ำวาว มอบความชุ่มชื้นบางเบา และอุดมด้วยวิตามินบำรุงทำให้ริมฝีปากเนียนนุ่มขึ้น,https://s2.konvy.com/static/team/2024/0208/17073745377159.jpg,"[(142, 24, 25)]"
